service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20250101, 20260809
A2, 0, 0, 0, 0, 0, 1, 1, 20250101, 20260809
A3, 0, 0, 0, 0, 0, 1, 0, 20250101, 20260809
A4, 0, 0, 0, 0, 0, 0, 1, 20250101, 20260809
B1, 1, 1, 1, 1, 1, 0, 0, 20260810, 20260816
B2, 0, 0, 0, 0, 0, 1, 1, 20260810, 20260816
B3, 0, 0, 0, 0, 0, 1, 0, 20260810, 20260816
B4, 0, 0, 0, 0, 0, 0, 1, 20260810, 20260816
D1, 1, 1, 1, 1, 1, 0, 0, 20260817, 20260823
D2, 0, 0, 0, 0, 0, 1, 1, 20260817, 20260823
D3, 0, 0, 0, 0, 0, 1, 0, 20260817, 20260823
D4, 0, 0, 0, 0, 1, 0, 0, 20260817, 20260823
D5, 1, 1, 1, 1, 0, 0, 0, 20260817, 20260823
D6, 0, 0, 0, 0, 0, 0, 1, 20260817, 20260823
A1A, 1, 1, 1, 1, 1, 0, 0, 20260824, 20261231
A2A, 0, 0, 0, 0, 0, 1, 1, 20260824, 20261231
A3A, 0, 0, 0, 0, 0, 1, 0, 20260824, 20261231
A4A, 0, 0, 0, 0, 0, 0, 1, 20260824, 20261231
C2, 0, 0, 0, 0, 0, 0, 1, 20260816, 20260816
C4, 0, 0, 0, 0, 0, 0, 1, 20260816, 20260816
